NAME,POWER,CATEGORY,TAG,TAG,DESCRIPTION
ABJURE,Good,Ability,Movement,Defensive,"Forbid a character from entering an area, and force them to leave if they are there. This lasts until this ability is used again."
ACT,Good,Passive,Combo,,"In any situation, you are always first to act."
ADAPT,Moderate,Buff,,,"When a new day begins, you may freely redistribute your dots between your actions and aspects. You do not have to adhere to restrictions gained during bidding when doing this."
ARM,Great,Ability,Versatile,,"Summon supernatural armor and arms, automatically equipped. The exact nature of the armor and arms is up to the player, but is determined prior to the game."
ASCEND,Supreme,Passive,Versatile,,"May attempt actions that are physically impossible, e.g. dodge an explosion, squeeze through the eye of a needle."
BAN,Supreme,Negator,,,"After a character in sight takes an action, you may ban that character from doing it again, preventing them from taking that action. This lasts until you cancel the effect, or you apply another ban to that character. You may only have three bans active."
BEFRIEND,Good,Passive,,,"Make everyone that sees you believe that you are trustworthy and a good friend, unless you act unreasonably towards them."
BEND,Good,Ability,Basic,,"You may instantly alter the form of any solid 
5m x 5m x 5m cube, though the final shape must also be constrained within the cube."
BLEED,Great,Ability,Attack,,"You may make any wound within sight worse, and potentially lethal. This mark cannot create wounds on its own."
BLIND,Great,Passive,Information,Defensive,"Other people's heads are always turned in such a way that they aren't looking at you, directly or through intermediates such as mirrors or photographs."
BORROW,Moderate,Meta,,,"Touch another Chosen to take one of their Marks, disallowing them from using it. Once used up, or when you use BORROW again, the Mark returns to them."
BOUNCE,Poor,Ability,Basic,,You may bestow elastic properties to anything you touch.
BUG,Moderate,Passive,Defensive,,"While you are looking at a person, they are unable to perform any action that requires concentration or precision."
CALL,Supreme,Ability,Basic,Versatile,"Create one sentient entity of any kind, under their control. The entity disappears if a new one is created."
CHALLENGE,Moderate,Ability,Scaling,,"Three times per day, you may challenge a statement another Chosen makes. Unless they prove it within ten minutes, they lose three max effort, and you gain that much effort. If it's the second time they fail to prove a statement, they instead lose three random Aspect dots, and you gain the same amount of Aspect dots. If it's the third time, they instead lose a random Mark, which you gain."
CHARGE,Good,Ability,Attack,Movement,"Once per week, move incredibly quickly, become invulnerable for the duration, and make an irresistible attack."
CHARM,Moderate,Ability,Burnt,Information,"Roll COMMAND against a character. If you succeed, the target will perfectly follow your commands for one hour, as long as they don't mean direct self harm, after which the influence ends, and they have no recall of what happened during that hour."
CHASE,Moderate,Ability,Movement,,You can choose a person in sight. That person cannot move more than 200 meters away from you. This effect ends when you choose another person or when you want to.
CHEAT,Supreme,Meta,Limited,,"When used, permanently turns into a Mark specifically designed to come out victorious in the current situation."
CLONE,Good,Ability,,,"Can create up to three clones of yourself, giving one or more of your other marks from yourself to each clone you create. Should a clone die, the marks it had are returned to you. Should you die, you become one of your clones."
COMMUNE,Poor,Ability,Basic,,"With some focus and time spent, you can communicate with objects and beings that usually can not. They behave like an NPC, and may independently take action while this is active."
COMPEL,Great,Passive,Basic,,"If you verbally tell someone else to take an action, they must take the action. This works once per person."
CONGEAL,Poor,Ability,,,"You can turn air thick and mucus like, slowing travel but allowing those affected to swim through the air. It is still breathable to you."
CONSUME,Good,Buff,Scaling,,"Remove a MARK from yourself or a fallen Chosen, increase any Action three times, they do not have to be the same Action. This can increase an Action beyond four points."
COOK,Moderate,Meta,Limited,Burnt,"Once, create a mark by combining one base, any amount of ingredients, and one spice, taken from anything in the Pantry that you have unlocked. Gain that mark."
CORRECT,Poor,Passive,,,"Anyone within earshot of you may not consciously/willingly lie. If they attempt to do so, they instead inadvertently say the truth. Individuals are not innately aware of this effect."
COUP,Poor,Ability,,,"For every three narrative reasonings you make that you should succeed at something, gain one die towards succeeding. For every three narrative reasonings an opponent makes against your success, lose one die towards succeeding."
CRAFT,Supreme,Ability,Scaling,,"Allows access to the special action ""Craft"", which allows the creation of items with mystical power."
CREATE,Great,Ability,Basic,,May materialize objects out of thin air.
